8485.62,6060300000.0,143065219654,16859725.0,16859725.0,-0.2,4.88,5.04,8453.51,8456.3,8454.9,18-02-12-14-26
8485.62,6060300000.0,143065219654,16859725.0,16859725.0,-0.2,4.88,5.04,8454.01,8457.51,8455.76,18-02-12-14-27
8485.62,6060300000.0,143065219654,16859725.0,16859725.0,-0.2,4.88,5.04,8448.47,8451.41,8449.94,18-02-12-14-28
8485.62,6060300000.0,143065219654,16859725.0,16859725.0,-0.2,4.88,5.04,8451.08,8453.37,8452.22,18-02-12-14-29
8485.62,6060300000.0,143065219654,16859725.0,16859725.0,-0.2,4.88,5.04,8448.22,8452.72,8450.47,18-02-12-14-30
8500.29,6062380000.0,143312551820,16859725.0,16859725.0,0.09,5.1,5.28,8438.04,8443.66,8440.85,18-02-12-14-31
8500.29,6062380000.0,143312551820,16859725.0,16859725.0,0.09,5.1,5.28,8438.04,8443.66,8440.85,18-02-12-14-32
8500.29,6062380000.0,143312551820,16859725.0,16859725.0,0.09,5.1,5.28,8438.04,8443.66,8440.85,18-02-12-14-33
8500.29,6062380000.0,143312551820,16859725.0,16859725.0,0.09,5.1,5.28,8438.09,8443.32,8440.71,18-02-12-14-34
8491.16,6049870000.0,143158622531,16859725.0,16859725.0,0.24,5.02,5.23,8431.04,8434.83,8432.94,18-02-12-14-35
8491.16,6049870000.0,143158622531,16859725.0,16859725.0,0.24,5.02,5.23,8432.4,8437.4,8434.9,18-02-12-14-36
8491.16,6049870000.0,143158622531,16859725.0,16859725.0,0.24,5.02,5.23,8429.08,8435.11,8432.1,18-02-12-14-37
8491.16,6049870000.0,143158622531,16859725.0,16859725.0,0.24,5.02,5.23,8426.41,8429.82,8428.12,18-02-12-14-38
8491.16,6049870000.0,143158622531,16859725.0,16859725.0,0.24,5.02,5.23,8426.15,8427.88,8427.02,18-02-12-14-39
8482.33,6038280000.0,143009963218,16859750.0,16859750.0,0.23,4.95,5.18,8428.32,8431.74,8430.03,18-02-12-14-40
8482.33,6038280000.0,143009963218,16859750.0,16859750.0,0.23,4.95,5.18,8427.29,8433.23,8430.26,18-02-12-14-41
8482.33,6038280000.0,143009963218,16859750.0,16859750.0,0.23,4.95,5.18,8427.29,8433.23,8430.26,18-02-12-14-42
8482.33,6038280000.0,143009963218,16859750.0,16859750.0,0.23,4.95,5.18,8425.73,8428.65,8427.19,18-02-12-14-43
8482.33,6038280000.0,143009963218,16859750.0,16859750.0,0.23,4.95,5.18,8424.59,8427.7,8426.15,18-02-12-14-44
8474.16,6027320000.0,142872219060,16859750.0,16859750.0,0.22,4.89,5.2,8408.79,8413.26,8411.03,18-02-12-14-45
8474.16,6027320000.0,142872219060,16859750.0,16859750.0,0.22,4.89,5.2,8415.65,8419.09,8417.37,18-02-12-14-46
8474.16,6027320000.0,142872219060,16859750.0,16859750.0,0.22,4.89,5.2,8411.88,8416.05,8413.97,18-02-12-14-47
8474.16,6027320000.0,142872219060,16859750.0,16859750.0,0.22,4.89,5.2,8430.09,8434.36,8432.23,18-02-12-14-49
8475.63,6015170000.0,142897002892,16859750.0,16859750.0,0.27,4.96,5.22,8411.88,8416.05,8413.97,18-02-12-14-50
8475.63,6015170000.0,142897002892,16859750.0,16859750.0,0.27,4.96,5.22,8431.16,8435.46,8433.31,18-02-12-14-51
8475.63,6015170000.0,142897002892,16859750.0,16859750.0,0.27,4.96,5.22,8430.57,8435.65,8433.11,18-02-12-14-52
8475.63,6015170000.0,142897002892,16859750.0,16859750.0,0.27,4.96,5.22,8423.76,8428.38,8426.07,18-02-12-14-53
8475.63,6015170000.0,142897002892,16859750.0,16859750.0,0.27,4.96,5.22,8421.77,8425.3,8423.54,18-02-12-14-54
8473.91,6012130000.0,142868004122,16859750.0,16859750.0,0.29,4.99,5.29,8421.77,8425.3,8423.54,18-02-12-14-55
8473.91,6012130000.0,142868004122,16859750.0,16859750.0,0.29,4.99,5.29,8419.56,8424.78,8422.17,18-02-12-14-56
8473.91,6012130000.0,142868004122,16859750.0,16859750.0,0.29,4.99,5.29,8425.21,8427.91,8426.56,18-02-12-14-57
